h3,counts,min_depth,max_depth,salinity,min_salinity,max_salinity,temperature,min_temperature,max_temperature,oxygen,min_oxygen,max_oxygen,latitude,longitude
84df061ffffffff,7,31.0,161.0,,,,,,,,,,-62.69986,-59.92729
84df063ffffffff,1,166.0,166.0,,,,,,,,,,-62.28436,-60.01588
84df065ffffffff,26,910.0,910.0,,,,,,,,,,-62.86093,-59.07059
84df067ffffffff,26,50.0,670.0,,,,,,,,,,-62.44511,-59.1733
84df069ffffffff,63,21.0,419.0,,,,,,,,,,-62.95067,-60.69485
84df06dffffffff,10,174.0,701.0,,,,,,,,,,-63.11683,-59.83583
84df087ffffffff,1,3084.0,3084.0,,,,,,,,,,-58.61733,-60.70371
84df101ffffffff,78,215.0,265.0,,,,,,,,,,-62.76128,-54.96457
84df103ffffffff,5,254.0,359.0,,,,,,,,,,-62.34834,-55.13158
84df10bffffffff,55,225.0,501.0,,,,,,,,,,-62.62518,-55.84744
84df111ffffffff,8,750.0,2341.0,,,,,,,,,,-61.80021,-56.14749
84df113ffffffff,170,224.0,403.0,,,,,,,,,,-61.38984,-56.29074
84df119ffffffff,4,480.0,1208.0,,,,,,,,,,-62.07066,-56.85786
84df11bffffffff,2,402.0,424.0,,,,,,,,,,-61.65881,-56.99162
84df11dffffffff,5,289.0,1133.0,,,,,,,,,,-62.212,-55.9998
84df12bffffffff,1,721.0,721.0,,,,,,,,,,-62.60546,-53.36564
84df12dffffffff,4,628.0,711.0,,,,,,,,,,-63.13737,-52.25603
84df139ffffffff,8,410.0,410.0,,,,,,,,,,-62.06824,-54.42976
84df141ffffffff,2,55.0,55.0,,,,,,,,,,-63.73195,-56.2787
84df147ffffffff,3,393.0,393.0,,,,,,,,,,-63.45551,-55.52783
84df14bffffffff,1,70.0,70.0,,,,,,,,,,-63.58591,-57.18579
84df151ffffffff,9,891.0,891.0,,,,,,,,,,-62.75238,-57.45395
84df153ffffffff,4,375.0,963.0,,,,,,,,,,-62.33769,-57.58174
84df16dffffffff,5,549.0,549.0,,,,,,,,,,-64.13696,-53.48943
84df195ffffffff,1,3775.0,3775.0,,,,,,,,,,-59.09645,-56.30089
84df1b5ffffffff,2,3874.0,3874.0,,,,,,,,,,-59.08117,-54.11681
84df1c1ffffffff,17,2846.0,2846.0,,,,,,,,,,-60.83958,-57.24726
84df1e1ffffffff,1,232.0,232.0,,,,,,,,,,-60.8425,-54.92757
84df1e7ffffffff,1,2896.0,2896.0,,,,,,,,,,-60.5644,-54.26497
84df1e9ffffffff,5,226.0,312.0,,,,,,,,,,-61.11769,-55.60277
84df1ebffffffff,4,179.0,414.0,,,,,,,,,,-60.71035,-55.75061
84df1edffffffff,8,110.0,732.0,,,,,,,,,,-61.24968,-54.7666
84df20dffffffff,1,703.0,703.0,,,,,,,,,,-63.74264,-66.4231
84df221ffffffff,1,241.0,241.0,,,,,,,,,,-63.49174,-63.92949
84df22dffffffff,9,75.0,75.0,,,,,,,,,,-63.91154,-63.9022
84df265ffffffff,1,38.0,38.0,,,,,,,,,,-64.56214,-64.72439
84df26dffffffff,4,218.0,527.0,,,,,,,,,,-64.78654,-65.58907
84df2bdffffffff,1,3422.0,3422.0,,,,,,,,,,-60.00642,-64.85743
84df2d3ffffffff,12,567.0,567.0,,,,,,,,,,-59.84604,-68.46568
84df30bffffffff,12,92.0,133.0,,,,,,,,,,-64.45859,-61.26639
84df311ffffffff,1,126.0,126.0,,,,,,,,,,-63.61638,-61.40847
84df313ffffffff,3,656.0,656.0,,,,,,,,,,-63.1974,-61.47606
84df317ffffffff,8,65.0,424.0,,,,,,,,,,-63.3687,-60.61509
84df319ffffffff,38,82.0,147.0,,,,,,,,,,-63.85973,-62.21605
84df31bffffffff,67,64.0,246.0,,,,,,,,,,-63.43989,-62.27099
84df31dffffffff,11,64.0,573.0,,,,,,,,,,-64.0368,-61.33862
84df327ffffffff,3,22.0,69.0,,,,,,,,,,-64.42465,-56.89942
84df333ffffffff,93,73.0,91.0,,,,,,,,,,-63.27819,-58.96454
84df33bffffffff,8,96.0,269.0,,,,,,,,,,-63.53523,-59.74136
84df351ffffffff,25,46.0,655.0,,,,,,,,,,-64.52058,-62.99463
84df353ffffffff,8,94.0,170.0,,,,,,,,,,-64.09858,-63.03788
84df355ffffffff,1,46.0,46.0,,,,,,,,,,-64.70363,-62.10049
84df357ffffffff,19,84.0,924.0,,,,,,,,,,-64.28099,-62.15925
84df359ffffffff,571,3.0,612.0,,,,,,,,,,-64.75539,-63.8448
84df35bffffffff,15,87.0,348.0,,,,,,,,,,-64.33277,-63.87399
84df35dffffffff,52,30.0,283.0,,,,,,,,,,-64.94394,-62.94988
84df403ffffffff,4,118.0,118.0,,,,,,,,,,-54.55322,-66.18617
84df40dffffffff,10,1212.0,1318.0,,,,,,,,,,-55.31286,-66.20146
84df415ffffffff,1,101.0,101.0,,,,,,,,,,-54.17648,-66.17879
84df417ffffffff,1,81.0,81.0,,,,,,,,,,-53.80181,-66.17159
84df421ffffffff,13,274.0,502.0,,,,,,,,,,-55.0646,-64.34858
84df423ffffffff,11,23.0,91.0,,,,,,,,,,-54.68413,-64.36324
84df427ffffffff,3,146.0,348.0,,,,,,,,,,-54.84857,-63.74294
